round,week,person,artist,title,genre,year,Decade,Mins,Group,EDA,Origin,Gender,POC,double,note
12,101,SF,Cyndi Lauper,She's So Unusual,Pop,1983,1980s,39,0,0,USA,F,0,0,
12,100,MJ,The White Stripes,Elephant,Rock,2003,2000s,51,1,0,USA,MF,0,0,
12,99,RW,Eagles,Hotel California,Rock,1976,1970s,43,1,0,USA,M,0,0,
12,98,JP,Kanye West,The College Dropout,Hip Hop,2004,2000s,76,0,0,USA,M,1,0,
12,97,TL,Taylor Swift,folklore,Pop,2020,2020s,63,0,0,USA,F,0,0,
12,96,MT,De La Soul,3 Feet High and Rising,Hip Hop,1989,1980s,63,1,0,USA,M,1,0,
12,95,WS,Olivia Rodrigo,SOUR,Pop,2021,2020s,35,0,0,USA,F,1,0,
12,94,RL,DJ Shadow,Endtroducing.....,Hip Hop,1996,1990s,63,0,0,USA,M,0,0,
11,93,SF,Rag'n'Bone Man,Human,Soul,2017,2010s,42,0,0,GBR,M,0,0,
11,92,MJ,Ninajirachi,I Love My Computer,Dance,2025,2020s,40,0,0,AUS,F,0,0,
11,91,RW,Michael Jackson,Off the Wall,Disco,1979,1970s,42,0,0,USA,M,1,0,
11,90,JP,Seasick Steve,Dog House Music,Blues,2006,2000s,54,0,0,USA,M,0,0,
11,89,TL,Carly Rae Jepsen,E•MO•TION,Pop,2015,2010s,54,0,0,CAN,F,0,0,
11,88,MT,Barry Can't Swim,Loner,Dance,2025,2020s,41,0,0,GBR,M,0,0,
11,87,WS,Joey Valence & Brae,NO HANDS,Hip Hop,2024,2020s,31,1,0,USA,M,1,0,
11,86,RL,FM-84,Atlas,Electronic,2016,2010s,47,0,0,GBR,M,0,0,
10,85,SF,Meat Loaf,Bat Out of Hell,Rock,1974,1970s,46,0,0,USA,M,0,0,
10,84,MJ,Bon Jovi,New Jersey,Rock,1988,1980s,58,1,0,USA,M,0,0,
10,83,RW,Five,Five,Pop,1998,1990s,66,1,1,GBR,M,1,0,
