person,round,week,artist,title,year,double,note
RL,1,1,M83,Before the Dawn Heals Us,2005,false,
WS,1,2,The Black Queen,Fever Daydream,2016,false,
MT,1,3,Jungle,Volcano,2023,false,
TL,1,4,Talk Talk,The Colour of Spring,1986,false,
JP,1,5,Kendrick Lamar,Mr. Morale & the Big Steppers,2022,false,
RW,1,6,Tracy Chapman,Tracy Chapman,1988,false,
MJ,1,7,Electric Six,Fire,2003,false,
RS,1,8,Linkin Park,The Hunting Party,2014,false,
SF,1,9,Newton Faulkner,Hand Built by Robots,2007,false,
RL,2,10,Sigur Rós,(),2002,false,
WS,2,11,Every Time I Die,Radical,2021,false,
MT,2,12,IDLES,Joy as an Act of Resistance,2018,false,
TL,2,13,Grimes,Art Angels,2015,false,
JP,2,14,Post Malone,Hollywood's Bleeding,2019,false,
RW,2,15,Live,Throwing Copper,1994,false,
MJ,2,16,Misterwives,Our Own House,2015,false,
RS,2,17,Beartooth,The Surface,2023,true,
RS,2,17,The Wildhearts,Earth vs the Wildhearts,1993,true,
SF,2,18,As December Falls,As December Falls,2019,false,
