#,JP,MJ,MT,RL,RS,RW,SF,TL,WS
1,5.75,6,5,,5,6.5,6,6.25,6
2,4.75,6.75,1,4.25,,6,5.5,5.25,
3,7,6,,7,,5.75,5.75,5.75,6.75
4,6.75,6.5,5.5,7.25,,6,7,,6.75
5,,7,4.75,5,,4.75,4.25,6.75,6
6,7.5,7.5,9,7.5,,,7.25,7.25,7.5
7,6.75,,8.5,4.75,,7.75,7.25,6.5,7
8,5,6.75,3,6.25,,6.75,6.75,6.75,3
9,5.5,6,3.5,6.5,,5.75,,3.75,4.5
10,5.5,5.75,1.5,,,5.25,6.5,7.5,6.5
11,6.25,7,6.75,3,,5.75,6.5,7.5,
12,7,6.75,,5.25,,5.75,6.75,6.5,6.5
13,6,7.25,6,8.5,,7.5,4.75,,7.5
14,,6,4.25,5.25,,6,4.75,5.25,4.5
15,5.75,6.25,5.75,4.75,,,6.5,6,5
16,6.5,,5.75,8.25,,8,6.25,6.75,7.5
17,6,6.25,3.75,6.5,,6,,5.75,6
18,6.75,7.5,6.5,7.5,,8,7.5,7,7.5
19,6,6.25,5.75,4.5,,4.5,6,4,4
20,5.5,6,7,,,5.25,5.75,5,5
21,,7,5.25,5.5,,6,5.25,4.50,
22,6.75,6.5,,6.75,,6,6.75,6,7.25
23,7,6,5.5,8,,6.5,5.5,,7.75
24,,6.75,6,4.5,,6.25,6,7.75,7.75
25,6.5,6.5,5.5,7.5,,,6.25,6.5,6
26,7,,7,6.25,,6,6.5,7.25,7.25
27,6.5,6.5,7,6,,5.75,6,5.5,4.5
28,6,7.5,4.5,5.5,,6,,7,6.5
29,6,6.5,5.75,,,6.75,6.75,5.5,5.5
30,,6.75,6.25,7.75,,6.25,7,8,
31,7,6.5,,6.25,,5.75,6.5,5.75,6.25
32,7,6.5,5.75,7.25,,6,6.25,6.5,6
33,,6.75,6.5,6,,6.75,7.25,,7.75
34,,6.25,6.25,6.25,,6.25,6.5,6,6.75
35,5.75,6.75,5.75,7,,,7,7.25,6.75
36,7,,7.75,6.5,,7.5,7.25,6.5,7
37,,6,5,6.25,,6.75,,5,5.75
38,,6.75,7.75,,,7.25,6.5,7.5,7.25
39,,7.25,6,5,,5.5,6.25,6,
40,,6.5,,6.5,,6.25,5.5,5.25,5.25
41,,6.75,5.75,9,,7,8.25,,7
42,,6.75,4.5,6.25,,7,6,6.75,4.5
43,,7.25,6.75,6.75,,,7,7.25,8
44,,,5.25,7,,7,5.25,6.5,7
45,,7.5,7.5,8,,7.5,,7.5,8
46,,6.5,7.25,,,6.75,7,7.25,6.75
47,,7,6.25,6.25,,6.5,6.5,6.75,
48,,6,,4,,6,5.5,6.75,6
49,,6.75,6.75,8,,6.25,7.5,,9
50,,6.75,6,6.75,,5.75,,5.5,5.75
51,5.75,7.25,7,7,,,,7,6.5
52,,,8,7.75,,6,,7,7.25
53,6,6.75,6.75,6,,5.75,,6.75,4
54,,5.75,5.5,,,6,,6.25,6
55,5,6.5,6.25,6,,5.5,,6.75,
56,6.75,6.5,,7.75,,7,,6.5,6.75
57,5.5,7.75,6.75,7.5,,7.75,,,7.5
58,,6.75,7.5,6,,6,,6,5.5
59,6,6.75,5.25,6.75,,,,7.75,7
60,6.5,,6.75,6.75,,6,,6,6
61,6.75,7,5.75,7,,7,,5.75,7
62,,6.5,5,,,7,,7,6.25
63,5,6.75,5.75,4,,4.5,,4.25,
64,7,7,,6.5,,7,7,7,7
65,6.75,7,5.75,7.25,,8,6.75,,7
66,,6.75,7.5,4.75,,6.5,,6.25,6
67,7.5,6.75,8.25,7,,,,7,7.25
68,7.5,,6.75,8,,7.25,,8.25,8
69,,7.25,7.25,7.25,,7.5,,7.25,6.5
70,5.5,6.5,7.5,,,5.75,,7.75,6.25
71,,7,6.25,6,,6.25,,7.25,
72,,5.75,,5.75,,6.25,,4.25,5.5
73,5.75,6.5,5.25,6.5,,6.5,,,6.5
74,,6.75,5.25,6.75,,6.75,,6.75,6
75,,5.75,6,5.5,,,,5,5.5
76,,,7.75,,,6.25,,7,5.5
77,,6.5,6.25,,,6.25,,6,6
78,,6.5,7.25,,,7.25,,6.75,7
79,4,7.5,7.25,6.5,,7.75,,5.25,
80,,7,,,,6.75,,6,6
81,7,8,7.25,,,6.25,,,6.5
82,,5.75,4.5,,,5.75,,7.25,7.5
83,,6.25,4,2.75,,,,3,2
84,,,6.25,,,6.5,,6.5,6
85,,8.25,6,,,7.25,,7.75,6.75
86,,6,7.75,,,7.5,,7.75,7
87,,6.75,6.75,,,7,,6.25,
88,8,7.25,,,,6,,7.75,9
89,,7.5,6.25,,,9,,,9
90,,6.75,5,,,5.5,,3.5,5
91,,7.5,7.25,,,,,6.25,7
92,,,6.75,,,7,,7.25,6.5
93,,6.75,6.25,,,7.25,,4.75,6
94,9,7.25,8.25,,,6.75,,7.5,8.5
95,,7.5,7.5,,,7.5,,7.5,
96,,6.75,,,,5.25,,5.5,5
97,,7.25,,,,8.5,,,7
98,,7.5,,,,6.5,,8,7.25
99,,7.25,,,,,,7.25,
100,,,,,,7.5,,6.25,
